Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Dove-3,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,594,815,0.0156,97.7,98.8,4,1500,355,5,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2013-066P,39429,2013
Echostar 1 ,USA,-95.712891,37.09024,"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)",Mexico,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,77.15,35776,35795,0.000225,0.01,1436.07,3287,2000,7000,12,Lockheed Martin Astro Space,USA,Xichang Satellite Launch Center,Long March 2E,1995-073A,23754,1995
Echostar 10,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-110.07,35780,35792,0.000142,0.06,1436,4333,2000,10000,15,Lockheed Martin Commercial Space Systems,USA,Sea Launch,Zenit 3SL,2006-003A,28935,2006
Echostar 11,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-109.97,35778,35793,0.000178,0.03,1436.1,5500,2000,20000,15,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,2008-035A,33207,2008
Echostar 14,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-119,35785,35789,4.74E-05,0.05,1436.11,6384,3223,20000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-010A,36499,2010
Echostar 15,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-61.5,35789,35803,0.000166,0.07,1436.57,5521,3223,20000,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-034A,36792,2010
Echostar 17,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-107.1,35781,35794,0.000154,0.01,1436.13,6100,3223,16100,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2012-035A,38551,2012
Echostar 3 ,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-61.46,35783,35790,8.30E-05,0.02,1436.11,3674,1700,10000,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2AS,1997-059A,25004,1997
Echostar 7 ,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-118.85,35782,35789,8.30E-05,0.01,1436.07,4027,2200,13000,12,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 3B,2002-006A,27378,2002
Echostar 8 ,USA,-95.712891,37.09024,"Echostar Technologies, LLC",USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-76.97,35783,35789,7.12E-05,0.01,1436.1,4660,2200,10000,12,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2002-039A,27501,2002
Echostar G1,USA,-95.712891,37.09024,Dish Network,USA,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,-92.92,35773,35799,0.000308,5.73,1436.1,6600,2500,16000,15,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,2008-016A,32763,2008
Eutelsat 172A,USA,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,172.06,35772,35799,0.00032,0.01,1436.1,5000,1550,13000,16,Alcatel Alenia Space,France/Italy,Baikonur Cosmodrome,Proton M,2005-052A,28924,2005
Galaxy-11,USA,-95.712891,37.09024,"PanAmSat (Intelsat, Ltd.)",USA,Commercial,Communications,Radar Imaging,GEO,Equatorial,-55.5,35785,35795,0.000119,0.05,1436.11,4488,2775,10400,14,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1999-071A,26038,1999
Galaxy-13,USA,-95.712891,37.09024,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.",USA/Japan,Commercial,Communications,Radar Imaging,GEO,Equatorial,-126.97,35781,35790,0.000107,0.01,1436.07,4060,2630,8600,15,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3,2003-044A,27954,2003
